order_id,customer_id,order_date,product_name,category,unit_price,quantity,status,line_amount
ORD202500007,CUST1029,2025-01-01,Phone Case,Accessories,399.0,1,Cancelled,399.0
ORD202500093,CUST1025,2025-01-01,HDMI Cable,Electronics,399.0,1,Completed,399.0
ORD202500001,CUST1022,2025-01-03,HDMI Cable,Electronics,399.0,1,Completed,399.0
ORD202500060,CUST1019,2025-01-05,HDMI Cable,Electronics,399.0,2,Completed,798.0
ORD202500050,CUST1016,2025-01-06,Gel Pen Pack (10),Stationery,149.0,1,Completed,149.0
ORD202500091,CUST1013,2025-01-06,Laptop Stand,Accessories,1499.0,1,Completed,1499.0
ORD202500012,CUST1009,2025-01-07,Backpack,Accessories,1999.0,1,Returned,1999.0
ORD202500049,CUST1018,2025-01-07,HDMI Cable,Electronics,399.0,2,Returned,798.0
ORD202500026,CUST1003,2025-01-14,Laptop Stand,Accessories,1499.0,1,Completed,1499.0
ORD202500019,CUST1047,2025-01-15,Laptop Stand,Accessories,1499.0,1,Completed,1499.0
ORD202500078,CUST1035,2025-01-15,Coffee Mug,Home & Kitchen,349.0,1,Completed,349.0
ORD202500012,CUST1017,2025-01-17,Power Bank (10k mAh),Electronics,1799.0,1,Returned,1799.0
ORD202500044,CUST1043,2025-01-19,USB-C Cable,Electronics,299.0,1,Completed,299.0
ORD202500051,CUST1043,2025-01-19,Laptop Stand,Accessories,1499.0,2,Cancelled,2998.0
ORD202500053,CUST1045,2025-01-23,USB-C Cable,Electronics,299.0,3,Completed,897.0
ORD202500064,CUST1036,2025-01-24,Coffee Mug,Home & Kitchen,349.0,5,Completed,1745.0
ORD202500081,CUST1024,2025-01-30,Portable SSD (500GB),Electronics,5499.0,1,Returned,5499.0
ORD202500050,CUST1022,2025-02-01,Water Bottle (1L),Home & Kitchen,499.0,5,Completed,2495.0
ORD202500031,CUST1049,2025-02-02,Fitness Band,Electronics,3499.0,4,Returned,13996.0
ORD202500089,CUST1043,2025-02-02,Phone Case,Accessories,399.0,4,Completed,1596.0
ORD202500093,CUST1028,2025-02-10,Desk Lamp,Home & Kitchen,1299.0,3,Completed,3897.0
ORD202500025,CUST1037,2025-02-12,Coffee Mug,Home & Kitchen,349.0,4,Completed,1396.0
ORD202500092,CUST1026,2025-02-13,Notebook (A5),Stationery,99.0,1,Completed,99.0
ORD202500076,CUST1029,2025-02-15,Desk Organizer,Home & Kitchen,899.0,3,Completed,2697.0
ORD202500018,CUST1017,2025-02-16,Laptop Stand,Accessories,1499.0,1,Completed,1499.0
ORD202500081,CUST1037,2025-02-18,Whiteboard Marker (4),Stationery,129.0,4,Completed,516.0
ORD202500011,CUST1049,2025-02-21,Desk Lamp,Home & Kitchen,1299.0,4,Returned,5196.0
ORD202500041,CUST1013,2025-02-25,Desk Organizer,Home & Kitchen,899.0,1,Completed,899.0
ORD202500088,CUST1010,2025-02-25,Desk Lamp,Home & Kitchen,1299.0,1,Completed,1299.0
ORD202500080,CUST1038,2025-02-27,Bluetooth Headphones,Electronics,2999.0,3,Cancelled,8997.0
ORD202500085,CUST1012,2025-03-01,Power Bank (10k mAh),Electronics,1799.0,1,Cancelled,1799.0
ORD202500060,CUST1034,2025-03-03,Backpack,Accessories,1999.0,1,Completed,1999.0
ORD202500025,CUST1001,2025-03-05,HDMI Cable,Electronics,399.0,1,Completed,399.0
ORD202500008,CUST1013,2025-03-06,Whiteboard Marker (4),Stationery,129.0,1,Completed,129.0
ORD202500023,CUST1005,2025-03-06,Desk Lamp,Home & Kitchen,1299.0,1,Completed,1299.0
ORD202500026,CUST1028,2025-03-09,Power Bank (10k mAh),Electronics,1799.0,1,Completed,1799.0
ORD202500036,CUST1011,2025-03-09,Backpack,Accessories,1999.0,1,Returned,1999.0
ORD202500039,CUST1019,2025-03-09,Gel Pen Pack (10),Stationery,149.0,2,Completed,298.0
ORD202500084,CUST1040,2025-03-11,USB-C Cable,Electronics,299.0,1,Completed,299.0
ORD202500092,CUST1049,2025-03-12,Desk Lamp,Home & Kitchen,1299.0,2,Completed,2598.0
ORD202500060,CUST1036,2025-03-16,Wireless Keyboard,Electronics,1599.0,1,Cancelled,1599.0
ORD202500072,CUST1030,2025-03-16,Laptop Stand,Accessories,1499.0,1,Cancelled,1499.0
