order_id,order_date,customer_id,product_name,category,unit_price,quantity,status,line_amount,DiscountedPrice
ORD20250018,2025-01-03,CUST1209,Backpack,Accessories,1999.0,1,Completed,1999.0,1799.1000000000001
ORD20250020,2025-01-09,CUST1177,Water Bottle (1L),Home & Kitchen,499.0,4,Cancelled,1996.0,449.1
ORD20250034,2025-01-12,CUST1129,USB-C Cable,Electronics,299.0,1,Cancelled,299.0,269.1
ORD20250019,2025-01-13,CUST1227,Power Bank (10k mAh),Electronics,1799.0,5,Returned,8995.0,1619.1000000000001
ORD20250022,2025-01-14,CUST1023,Phone Case,Accessories,399.0,1,Completed,399.0,359.1
ORD20250032,2025-01-22,CUST1012,Notebook (A5),Stationery,99.0,2,Completed,198.0,89.10000000000001
ORD20250017,2025-01-29,CUST1242,Coffee Mug,Home & Kitchen,349.0,1,Cancelled,349.0,314.1
ORD20250012,2025-02-01,CUST1156,Desk Organizer,Home & Kitchen,899.0,3,Completed,2697.0,809.1
ORD20250008,2025-02-02,CUST1006,Desk Lamp,Home & Kitchen,1299.0,2,Completed,2598.0,1169.1000000000001
ORD20250004,2025-02-03,CUST1005,Desk Lamp,Home & Kitchen,1299.0,1,Completed,1299.0,1169.1000000000001
ORD20250033,2025-02-08,CUST1088,Notebook (A5),Stationery,99.0,4,Completed,396.0,89.10000000000001
ORD20250019,2025-02-11,CUST1270,Surge Protector,Electronics,899.0,1,Returned,899.0,809.1
ORD20250028,2025-02-13,CUST1131,Water Bottle (1L),Home & Kitchen,499.0,1,Completed,499.0,449.1
ORD20250023,2025-02-16,CUST1203,Laptop Stand,Accessories,1499.0,1,Completed,1499.0,1349.1000000000001
ORD20250006,2025-02-21,CUST1028,Sticky Notes (100),Stationery,79.0,1,Completed,79.0,71.10000000000001
ORD20250018,2025-02-25,CUST1145,Water Bottle (1L),Home & Kitchen,499.0,1,Completed,499.0,449.1
ORD20250010,2025-02-28,CUST1234,Backpack,Accessories,1999.0,2,Returned,3998.0,1799.1000000000001
ORD20250004,2025-03-02,CUST1048,Coffee Mug,Home & Kitchen,349.0,1,Completed,349.0,314.1
ORD20250016,2025-03-02,CUST1104,USB-C Cable,Electronics,299.0,2,Completed,598.0,269.1
ORD20250032,2025-03-14,CUST1272,Whiteboard Marker (4),Stationery,129.0,4,Completed,516.0,116.10000000000001
ORD20250032,2025-03-20,CUST1175,Bluetooth Headphones,Electronics,2999.0,1,Completed,2999.0,2699.1
ORD20250037,2025-03-27,CUST1124,Desk Organizer,Home & Kitchen,899.0,3,Completed,2697.0,809.1
ORD20250032,2025-03-29,CUST1162,Wireless Mouse,Electronics,899.0,1,Completed,899.0,809.1
ORD20250035,2025-03-31,CUST1134,Gel Pen Pack (10),Stationery,149.0,1,Completed,149.0,134.1
ORD20250029,2025-04-11,CUST1028,USB-C Cable,Electronics,299.0,4,Completed,1196.0,269.1
ORD20250022,2025-04-12,CUST1078,USB-C Cable,Electronics,299.0,1,Cancelled,299.0,269.1
ORD20250008,2025-04-13,CUST1148,Fitness Band,Electronics,3499.0,1,Cancelled,3499.0,3149.1
ORD20250020,2025-04-18,CUST1098,Laptop Stand,Accessories,1499.0,2,Completed,2998.0,1349.1000000000001
ORD20250003,2025-04-21,CUST1215,Wireless Keyboard,Electronics,1599.0,1,Cancelled,1599.0,1439.1000000000001
ORD20250035,2025-04-21,CUST1142,USB-C Cable,Electronics,299.0,4,Completed,1196.0,269.1
ORD20250038,2025-04-28,CUST1134,USB-C Cable,Electronics,299.0,1,Completed,299.0,269.1
ORD20250004,2025-05-03,CUST1183,Whiteboard Marker (4),Stationery,129.0,1,Completed,129.0,116.10000000000001
